e3ligase,substrate
MDM2,TP53;HIF1A;NUMB;H2BC21;DHFR;FOXO4;RRM2B;IRF2;PSMD4;FOXO1;DYRK2;TERT;ATF3;RPS27A;BAIAP2L1;PBX1;IRF1;NOTCH1;GADD45A;PBXIP1;PGAM2;DDX24;TP73;RARA;IER3;MDM4;RPL26;IGF1R;KAT2B;ARRB2;E2F1;HIPK2;EID1;APEX1;AR;XRCC6;PDE4D;RB1;NFATC2;CDH1;KAT5;MDM2;NOL3;TCAP;CREBBP;JMY;ARRB1;GRK2;LLGL1;CDKN1A;IRS1;RUNX3;AQP2;DAXX;MRPS7;HEXIM1;GNL3;SLC14A2;CCNE1;SNAI1;DCX;ARPC3;FOXO3;NFAT5;NR3C1;DLG4;EP300;POLQ;HIPK1;ESR2;TTF1;NR0B2;ARIH2;HUWE1;FUS;PER2
CDC34,BTRC;CDKN1B;NFKBIA;MYBL2;CREM;CTNNB1
FZR1,CDC6;CDC25A;TK1;SKP2;CCNA2;PTTG1;CLSPN;DNM1L;GMNN;PLK1;PCLAF;USP1;ZC3HC1;CCNB1;MOAP1;E2F3;BUB1B;CDC20;SOX2;HECW2;DCPS;PAX3;NEK2;RBBP8;AURKA;BUB1;SKIL;MYF5;DTYMK;DNMT1;ID1;CDH13;RUNX1;ID2;FOXM1;NEDD9;SGO1;SASS6;CKAP2;AURKB;NUSAP1;ANLN;TPX2;PFKFB3;MAPK8;MAPK9;MAPK10;KLF4;NDC80;E2F1;MFN1;OPA1;TFAM;TRRAP;PECAM1;STIL
BRCA1,H2AC20;FANCD2;POLR2A;AKT1;PGR;ERCC6;CLSPN;CCNB1;H2AC8;PSMA7;H2AX;RBBP8;POLR2H;TUBG1;ESR1;NPM1;NR1H3;H2AC17;H2BC1;BRCA1;TOP2A;H2AC1;BARD1;CDC25C
FBXO2,AHSG;ITGB1;STUB1;BACE1;GJB2;NDOR1;SIRPA;GRIN1
NEDD4,HGS;SCN5A;SCNN1G;TTYH2;PSMD4;RNF11;LAPTM5;SCNN1B;SLC6A3;BECN1;SNCA;MYCN;AKT1;THOC1;PPARG;LATS1;MDM2;ERBB3;RNF7;SAV1;IRS2;IFITM3;PAX7;WBP2;AP1G2;IGF1R;PTEN;POLR2A;NTRK1;NDFIP2;TNK2;EGFR;ERBB4;GJA1;MLANA;TSG101;SYK;NEDD4;AR;ADRB2;N4BP1;SLC1A1;APPL1;MTMR4;SLC9A1;LYN;NDFIP1;APOBEC3G;EPS15;RAPGEF2;GGA3;BCL10;NOTCH1;KDR;BRAT1;SRC;ANXA13;DTX1;SPRY2;PDCD6IP;FGFR1;DCUN1D1;AMOT;KIF26B;MYC;AKT2;AKT3;GRIN2D;F2R;PIP5K1A;SPDYA;ERRFI1;ABCB1;LGR5;DVL2;LGR4;CDKN1A;GRIA1;SAG;GUCD1;SQSTM1;HRAS;KRAS;NRAS;H3C8
MDM4,TP53;MDM2;CDKN1A
BIRC3,DIABLO;RIPK2;RIPK3;RIPK4;TANK;IRF1;PACS2;BCL10;RIPK1;TRAF3;KRR1;MALT1;MAP3K14;TRAF1;TRAF6;CASP3;CASP7;CASP8;IKBKE;BIRC3
ANAPC2,PTTG1
PRKN,SEPTIN5;EPS15;PICK1;PSMD4;IKBKG;DNM1L;ZNF746;MFN1;PINK1;DDIT4;UCHL1;PTPN5;HSD17B10;RHOT1;CCNB1;NEK2;SQSTM1;RANBP2;PARK7;CCNE1;GPR37;SNCAIP;PDCD2;TUBA1B;TUBB;SNCA;LIMK1;AIMP2;SIM2;VDAC1;ATXN3;BCL2;SYT11;MFN2;STUB1;TOMM20;USP30;PRKN;GPR37L1;CCNE2;SYP;PLCG1;ERBB3;ERBB4;FUBP1;SH3GL2;SH3GL3;RHOT2;BAX;SEPTIN4;TARDBP;FAF1;HK1;PHGDH;TRAF6;TANK;CISD1
