e3ligase,substrate
CBL,PDGFRA;LCK;STAT5B;KDR;EGFR;FGFR3;MET;PLCG1;KIT;FGFR1;IL6ST;ABL1;BCR;ERBB2;FGFR2;CTNNB1;PDGFRB;SYK;PIK3R1;MPL;IGF1R;EPHB1;ITGA5;VAV1;HGS;LYN;SH3KBP1;FRS2;IRF8;FGFR4;MST1R;FYN;SORBS2;NGFR;BCL2L11;F2RL1;PIK3CG;SPRY2;CSF1R;CRKL;MYCBPAP;EPHA2;IL2RG;FLT1;LRIG1;STAT5A;SRC;STAP2;EPHA8;CD5;NFATC1;TEK;FCGR2A;SPRED2;FGR;PDGFA;ARHGEF7;YES1;CFTR;ALK
CBLC,EGFR;SRC
CBLB,EGFR;SYK;PLCG1;PIK3R1;CBLB;SH3KBP1;SRC;PIK3R2;IRS1;CD247
MDM2,HIF1A;MDM4;FOXO4;FOXO1;TERT;RB1;NFATC2;PBX1;NOTCH1;CDH1;RARA;TP53;RPL26;IGF1R;KAT2B;ARRB2;APEX1;XRCC6;PDE4D;AR;E2F1;HIPK2;EID1;KAT5;MDM2;ARC;TCAP;CREBBP;JMY;ARRB1;ADRBK1;DLG4;CDKN1A;IRS1;NOL3;RUNX3;AQP2;DAXX;MRPS7;HEXIM1;GNL3;SLC14A2;CCNE1;NUMB;RRM2B;DHFR;HIST2H2BE;RPS27A;BAIAP2L1;DYRK2;ATF3;PSMD4;IRF2;IRF1;GADD45A;PGAM2;TP73;DDX24;IER3;PBXIP1;SNAI1;DCX;H2BC21;GRK2;LLGL1;ARPC3;FOXO3;NFAT5;NR3C1;EP300;POLQ;HIPK1;ESR2;TTF1;NR0B2;ARIH2;HUWE1;FUS;PER2
VHL,HIF1A;EPAS1;USP20;USP33;HIF3A;IREB2;PRKCI;POLR2G;BHLHE40;FN1;DVL2;CLU;HNRNPD;ADRB2;HIF1AN;SKP2
SOCS1,JAK2;IRS1;RELA;LYN;IRS2;VAV1
BRCA1,FANCD2;ESR1;NPM1;AKT1;RBBP8;TUBG1;POLR2H;H2AFX;NR1H3;HIST1H2AG;HIST1H2BA;BRCA1;TOP2A;POLR2A;PGR;HIST2H2AC;CLSPN;ERCC6;HIST1H2AB;PSMA7;CCNB1;H2AC20;H2AC8;H2AX;H2AC17;H2BC1;H2AC1;BARD1;CDC25C
KEAP1,NFE2L2;IKBKB;PALB2;PGAM5;MCM3;SQSTM1
BIRC3,CASP8;BCL10;RIPK1;TRAF3;MAP3K14;KRR1;MALT1;TRAF1;TRAF6;CASP3;CASP7;DIABLO;RIPK2;RIPK3;RIPK4;PACS2;IRF1;TRAF2;IKBKE;TANK;BIRC3
FBXW7,MYC;CCNE1;MYB;MTOR;MYCN;CEBPA;TP63;DEK;HIF1A;NF1;NFKB2;CSF3R;CREB3L1;CREB3L2;JUN;NOTCH1;CCDC6;CCNE2;SREBF1;PSEN1;AURKA;SREBF2;KLF5;EBNA1BP2;MED13;MED13L;KLF2;AURKB;SREBP1;CEBPD;JUNB;KLF13;NRF1;TGIF1;NR3C1;NCOA3;PPARGC1A;TOP2A;BRAF;MCL1;RCAN1;NFE2L1;BIRC2;ASCC2;TP53;SNAI1;SOX9;SIK2;ZEB2;XBP1;CRY2;SHOC2
DDB2,XPC;HIST1H2AA;H2AC1;H2AC17;DDB2
FBXO11,TP53;BCL6;PRDM1;DTL
MAP3K1,JUN;MAPK1;FOSL2;MAPK3;DTX1
TRIM24,TP53
TRIM33,SMAD4;CTNNB1;DHX33
PPARG,MUC1;RELA
