id,ratio
A0AVF1,-0.040261223
A0AVK6,0.001905615
A0AVT1,-0.039840265
A0FGR8-2,0.100360306
A0JLT2,0.046176046
A0JNW5,-0.155101558
A0MZ66-3,-0.155619721
A0PJW6,0.125761732
A0PK00,-0.267715562
A1A4S6,-0.02672925
A1L020,-0.178364082
A1L0T0,0.047189342
A1L390,-0.031677496
A1X283,0.537068193
A1XBS5,0.214123074
A2A274,-0.173255383
A2AJT9,0.039088009
A2RRP1,0.019448185
A2RTX5,0.156450235
A2RU67,0.392288569
A2RUB1,0.509902288
A2RUC4,0.00332202
A2VDJ0-5,-0.109293689
A3KMH1,0.021496823
A3KN83,-0.110229592
A4D161,0.095527463
A4D1E9,-0.069152202
A4D1P6,-0.094641454
A4D1U4,-0.528871328
A4D2Q0,-0.10634832
A5A3E0,1.377781804
A5YKK6,-0.013355059
A6H8Y1,0.044121836
A6NCE7,0.12046674
A6NCI0,-0.01592569
A6NCZ6,0.141223255
A6ND36,0.055921195
A6NDA2,0.104542259
A6NDG6,-0.098284796
A6NDU8,0.00876933
A6NDV3,0.074592967
A6NEM2,0.114722405
A6NFI3,0.213520731
A6NFX8,-0.020768865
A6NG32,-0.230817842
A6NG58,-0.189160371
A6NGJ4,0.14047565
A6NGQ5,-0.033652052
A6NGQ6,0.021233264
A6NHB5,0.09571245
A6NHF2,-0.358171175
A6NHQ2,0.074076515
A6NHR9,0.039102832
A6NHX0,-0.140778656
A6NI00,0.003076218
A6NIH7,0.107103876
A6NIW2,0.202754549
A6NIX2,0.409546485
A6NIZ0,0.005318911
A6NJ78,-0.080930488
A6NJZ9,-0.161565256
A6NKD9,0.017577686
A6NKF1,0.00721707
A6NM71,-0.200127654
A6NMH8,0.123575389
A6NMQ1,0.076873644
A6PW55,0.009785732
A6PW57,0.107647835
A6ZKI3,0.085466091
A7E2V4-4,-0.128293401
A7KAX9,-0.459746354
A7MAP0,0.105271468
A7YIJ8,-0.035060797
A8CG34,-0.032665112
A8CTX8,0.116676355
A8K040,0.100128331
A8K1B6,-0.086919607
A8K327,-0.075874867
A8K7Q2,0.079798181
A8KAH5,-0.186246986
A8MSH5,-0.070664101
A8MSQ1,0.111617166
A8MSW2,0.158284456
A8MT69,0.247611057
A8MTK4,-0.21238257
A8MTM6,-0.25821739
A8MU08,0.038361856
A8MU17,0.103472384
A8MU24,0.051115127
A8MU27,0.120451057
A8MUM1,-0.002162421
A8MUP8,0.540316587
A8MUW5,0.101164777
A8MX09,0.135918873
A8MXB7,0.023695027
A8MXP9,0.055681261
A8MXV4,0.021994789
A8MY94,0.19449291
A8MYQ9,-0.017779413
A9UHW6,-0.214995135
B0QY89,-0.01649632
B0QY95,0.087457431
B0S7Z5,0.041120214
B0S836,-0.464772806
B0S872,-0.361431504
B0V043,0.012795573
B0YIW6,0.010395917
B0YJ81,0.27370935
B1AK44,0.051458955
B1AKJ5,0.056731268
B1AKJ6,0.015928399
B1AKR6,-0.051720116
B1ALK7,-0.127104965
B1ALY0,0.068876734
B1AM27,0.434870801
B1AQ60,-0.150949541
B1AVU8,0.076234691
B1AZV3,0.381235115
B2CI53,0.095357913
B2RTY4-4,-0.080794082
B3KSH1,0.007637611
B3KSY9,0.286374562
B3KTM8,0.120890253
B3KXW5,-0.216982489
B3KY94,0.324111823
B3KYA7,-0.033088169
B3V0L1,0.120341279
B4DDK9,0.140825544
B4DFL0,0.370303002
B4DFQ6,-0.420401554
B4DFT0,-0.832120372
B4DHX5,0.458009462
B4DI41,0.138886288
B4DIY7,-0.157819839
B4DJL6,-0.015782997
B4DKT0,0.068135436
B4DLE8,0.163138681
B4DLH4,0.104852516
B4DLN1,-0.07231164
B4DMU0,-0.041803688
B4DN88,0.251178138
B4DNJ6,-0.035060797
B4DP36,0.17633215
B4DR61,0.167944459
B4DR87,0.097471006
B4DRL5,0.076097809
B4DRN7,0.103875432
B4DRT2,-0.105275783
B4DTU0,-0.076285443
B4DUT8,0.351019236
B4DV38,-0.173767068
B4DW92,-0.078473209
B4DYX9,-0.035764654
B4E040,-0.204641566
B4E0X8,0.03296423
B4E241,0.068801074
B4E2N0,-0.109159939
B4E2P2,0.002353512
B5MBX0,0.030427674
B5MC40,0.086951677
B5MCA4,-0.350157749
B5MCU0,-0.016353684
B5MCY1,0.103208913
B5MDA0,-0.218347209
B5MDF3,0.958420568
B5MDX4,0.29523425
B5ME21,-0.01235413
B5ME97,-0.06060083
B5MEC5,-0.271067049
B6VF03,-0.547252389
B7WP27,-0.057554246
B7WPD3,-0.074368422
B7WPE2,-0.212133508
B7WPL0,-0.357608304
B7Z1P2,0.278461096
B7Z228,-0.030265443
B7Z287,-0.013640911
B7Z2A4,-0.044464067
B7Z484,0.103580886
